interactor A gene symbol	interactor B gene symbol	interactor A Uniprot AC	interactor B Uniprot AC
MYC	SULF2	P01106	Q8IWU5
MYC	NSFL1C	P01106	Q9UNZ2
MYC	RNF20	P01106	Q5VTR2
MYC	CTNNBL1	P01106	Q8WYA6
MYC	PARD3	P01106	Q8TEW0
MYC	IL36G	P01106	Q9NZH8
MYC	METTL3	P01106	Q86U44
MYC	EIF4ENIF1	P01106	Q9NRA8
MYC	ZC3HAV1	P01106	Q7Z2W4
MYC	WRNIP1	P01106	Q96S55
MYC	PNO1	P01106	Q9NRX1
MYC	SMARCAD1	P01106	Q9H4L7
MYC	DHX33	P01106	Q9H6R0
MYC	MCCC1	P01106	Q96RQ3
MYC	PAK6	P01106	Q9NQU5
MYC	DUS3L	P01106	Q96G46
MYC	ENY2	P01106	Q9NPA8
MYC	MRPS22	P01106	P82650
MYC	C11orf30	P01106	-
MYC	XAB2	P01106	Q9HCS7
MYC	BBX	P01106	Q8WY36
MYC	CCDC47	P01106	Q96A33
MYC	DDX24	P01106	Q9GZR7
MYC	CASC5	P01106	-
MYC	PCNP	P01106	Q8WW12
MYC	REXO4	P01106	Q9GZR2
MYC	NUP107	P01106	P57740
MYC	CAMK1G	P01106	Q96NX5
MYC	CORO1B	P01106	Q9BR76
MYC	SLC39A10	P01106	Q9ULF5
MYC	SCYL1	P01106	Q96KG9
MYC	BIRC6	P01106	Q9NR09
MYC	GATAD2B	P01106	Q8WXI9
MYC	SCAF4	P01106	O95104
MYC	LRRC47	P01106	Q8N1G4
MYC	ARID1B	P01106	Q8NFD5
MYC	KIDINS220	P01106	Q9ULH0
MYC	XPO5	P01106	Q9HAV4
MYC	RPTOR	P01106	Q8N122
MYC	MIB1	P01106	Q86YT6
MYC	ZNF687	P01106	Q8N1G0
MYC	EP400	P01106	Q96L91
MYC	ARHGAP23	P01106	Q9P227
MYC	DHX37	P01106	Q8IY37
MYC	KIAA1524	P01106	-
MYC	FBRSL1	P01106	Q9HCM7
MYC	EPB41L5	P01106	Q9HCM4
MYC	CHD8	P01106	Q9HCK8
MYC	ZDBF2	P01106	Q9HCK1
MYC	USP37	P01106	Q86T82
MYC	SUGP1	P01106	Q8IWZ8
MYC	CCAR2	P01106	Q8N163
MYC	SQRDL	P01106	-
MYC	SRPRB	P01106	Q9Y5M8
MYC	ZBED5	P01106	Q49AG3
MYC	CACTIN	P01106	Q8WUQ7
MYC	AFAP1	P01106	Q8N556
MYC	EXOC4	P01106	Q96A65
MYC	ELAC2	P01106	Q9BQ52
MYC	GUF1	P01106	Q8N442
MYC	NAA35	P01106	Q5VZE5
MYC	RIC8A	P01106	Q9NPQ8
MYC	BCORL1	P01106	Q5H9F3
MYC	UBE2O	P01106	Q9C0C9
MYC	CHTF18	P01106	Q8WVB6
MYC	CXorf56	P01106	Q9H5V9
MYC	NECAB3	P01106	Q96P71
MYC	CLSPN	P01106	Q9HAW4
MYC	MCCC2	P01106	Q9HCC0
MYC	XYLT1	P01106	Q86Y38
MYC	NCAPG	P01106	Q9BPX3
MYC	P3H1	P01106	Q32P28
MYC	MMS19	P01106	Q96T76
MYC	NOC3L	P01106	Q8WTT2
MYC	FBRS	P01106	Q9HAH7
MYC	ARAP3	P01106	Q8WWN8
MYC	INF2	P01106	Q27J81
MYC	POLR1E	P01106	Q9GZS1
MYC	VPS16	P01106	Q9H269
MYC	WDR13	P01106	Q9H1Z4
MYC	TNS3	P01106	Q68CZ2
MYC	PARP12	P01106	Q9H0J9
MYC	FNDC3B	P01106	Q53EP0
MYC	RBM15	P01106	Q96T37
MYC	GINS3	P01106	Q9BRX5
MYC	GNPNAT1	P01106	Q96EK6
MYC	MRPL14	P01106	Q6P1L8
MYC	MRPS15	P01106	P82914
MYC	NOL6	P01106	Q9H6R4
MYC	WNK1	P01106	Q9H4A3
MYC	PYCRL	P01106	-
MYC	ZBTB10	P01106	Q96DT7
MYC	MRPS34	P01106	P82930
MYC	DDX50	P01106	Q9BQ39
MYC	GGCT	P01106	O75223
MYC	AHNAK	P01106	Q09666
MYC	NABP2	P01106	Q9BQ15
MYC	ZFYVE21	P01106	Q9BQ24
MYC	DDX54	P01106	Q8TDD1
MYC	CCDC86	P01106	Q9H6F5
MYC	WDR77	P01106	Q9BQA1
MYC	MBOAT7	P01106	Q96N66
MYC	C1orf35	P01106	-
MYC	CENPO	P01106	Q9BU64
MYC	CORO7	P01106	P57737
MYC	SAP130	P01106	Q9H0E3
MYC	HECTD3	P01106	Q5T447
MYC	RPAP3	P01106	Q9H6T3
MYC	NEIL1	P01106	Q96FI4
MYC	DHX40	P01106	Q8IX18
MYC	ZCCHC6	P01106	-
MYC	NLRX1	P01106	Q86UT6
MYC	NOL9	P01106	Q5SY16
MYC	COLGALT1	P01106	Q8NBJ5
MYC	IPO4	P01106	Q8TEX9
MYC	WDR59	P01106	Q6PJI9
MYC	SLC25A22	P01106	Q9H936
MYC	MICALL2	P01106	Q8IY33
MYC	MYH14	P01106	Q7Z406
MYC	SHCBP1	P01106	Q8NEM2
MYC	SLTM	P01106	Q9NWH9
MYC	ZMYM1	P01106	Q5SVZ6
MYC	PIP4K2C	P01106	Q8TBX8
MYC	NEK11	P01106	Q8NG66
MYC	RIN3	P01106	Q8TB24
MYC	NOL10	P01106	Q9BSC4
MYC	FBXL18	P01106	-
MYC	MZT2B	P01106	Q6NZ67
MYC	ZNF703	P01106	Q9H7S9
MYC	PTGES2	P01106	Q9H7Z7
MYC	NAA15	P01106	Q9BXJ9
MYC	MYO19	P01106	Q96H55
MYC	CHD9	P01106	Q3L8U1
MYC	ALPK1	P01106	Q96QP1
MYC	NAA50	P01106	Q9GZZ1
MYC	EPC1	P01106	Q9H2F5
MYC	WDR82	P01106	Q6UXN9
MYC	AARSD1	P01106	Q9BTE6
MYC	ACTL8	P01106	Q9H568
MYC	FIP1L1	P01106	Q6UN15
MYC	SNX27	P01106	Q96L92
MYC	TRMT1L	P01106	Q7Z2T5
MYC	SFXN3	P01106	Q9BWM7
MYC	LAS1L	P01106	Q9Y4W2
MYC	SEH1L	P01106	Q96EE3
MYC	KIF18A	P01106	Q8NI77
MYC	ITCH	P01106	Q96J02
MYC	GRWD1	P01106	Q9BQ67
MYC	L3MBTL2	P01106	Q969R5
MYC	RAB34	P01106	Q9BZG1
MYC	GSG2	P01106	-
MYC	EIF2A	P01106	Q9BY44
MYC	ANKRD27	P01106	Q96NW4
MYC	PCGF6	P01106	Q9BYE7
MYC	WDR75	P01106	Q8IWA0
MYC	UTP15	P01106	Q8TED0
MYC	RPF2	P01106	Q9H7B2
MYC	POLR1B	P01106	Q9H9Y6
MYC	FAR1	P01106	Q8WVX9
MYC	C9orf64	P01106	Q5T6V5
MYC	POLDIP3	P01106	Q9BY77
MYC	PHF6	P01106	Q8IWS0
MYC	CHCHD6	P01106	Q9BRQ6
MYC	CMSS1	P01106	Q9BQ75
MYC	NIFK	P01106	Q9BYG3
MYC	ZNF512	P01106	Q96ME7
MYC	L3MBTL3	P01106	Q96JM7
MYC	FAM120B	P01106	Q96EK7
MYC	TUBB6	P01106	Q9BUF5
MYC	ZGPAT	P01106	Q8N5A5
MYC	GLYR1	P01106	Q49A26
MYC	KDM2B	P01106	Q8NHM5
MYC	PCGF1	P01106	Q9BSM1
MYC	LMNB2	P01106	Q03252
MYC	ABHD14B	P01106	Q96IU4
MYC	AIFM2	P01106	Q9BRQ8
MYC	CIRH1A	P01106	-
MYC	LTV1	P01106	Q96GA3
MYC	PRPF38A	P01106	Q8NAV1
MYC	PPIL4	P01106	Q8WUA2
MYC	FAM207A	P01106	Q9NSI2
MYC	KNDC1	P01106	Q76NI1
MYC	TANC1	P01106	Q9C0D5
MYC	PSKH2	P01106	Q96QS6
MYC	RRP36	P01106	Q96EU6
MYC	SERPINB12	P01106	Q96P63
MYC	RHOT2	P01106	Q8IXI1
MYC	PHLDB2	P01106	Q86SQ0
MYC	MED30	P01106	Q96HR3
MYC	ERI1	P01106	Q8IV48
MYC	MCU	P01106	Q8NE86
MYC	STARD13	P01106	Q9Y3M8
MYC	LRSAM1	P01106	Q6UWE0
MYC	DHX57	P01106	Q6P158
MYC	DDX60L	P01106	Q5H9U9
MYC	NEXN	P01106	Q0ZGT2
MYC	ELMSAN1	P01106	-
MYC	LIN52	P01106	Q52LA3
MYC	NEK9	P01106	Q8TD19
MYC	MYLK3	P01106	Q32MK0
MYC	TIMM50	P01106	Q3ZCQ8
MYC	TADA2B	P01106	Q86TJ2
MYC	SFXN1	P01106	Q9H9B4
MYC	PRKCDBP	P01106	-
MYC	TP53RK	P01106	Q96S44
MYC	CCDC101	P01106	-
MYC	PLCD3	P01106	Q8N3E9
MYC	AHNAK2	P01106	Q8IVF2
MYC	LARP4	P01106	Q71RC2
MYC	TOE1	P01106	Q96GM8
MYC	WBSCR22	P01106	-
MYC	LMTK3	P01106	-
MYC	LENG8	P01106	Q96PV6
MYC	FLYWCH2	P01106	Q96CP2
MYC	MB21D1	P01106	-
MYC	SLC25A26	P01106	Q70HW3
MYC	MRPL53	P01106	Q96EL3
MYC	TADA1	P01106	Q96BN2
MYC	DCD	P01106	P81605
MYC	FTSJ3	P01106	Q8IY81
MYC	TARSL2	P01106	-
MYC	C17orf49	P01106	-
MYC	RAVER1	P01106	Q8IY67
MYC	C19orf47	P01106	Q8N9M1
MYC	IQGAP3	P01106	Q86VI3
MYC	DIS3L2	P01106	Q8IYB7
MYC	LIN54	P01106	Q6MZP7
MYC	WDR36	P01106	Q8NI36
MYC	C5orf24	P01106	Q7Z6I8
MYC	MYO3B	P01106	Q8WXR4
MYC	NEK7	P01106	Q8TDX7
MYC	A2ML1	P01106	A8K2U0
MYC	KIF18B	P01106	Q86Y91
MYC	NFXL1	P01106	Q6ZNB6
MYC	ZMAT2	P01106	Q96NC0
MYC	ZNF746	P01106	Q6NUN9
MYC	CDCA2	P01106	Q69YH5
MYC	DHX36	P01106	Q9H2U1
MYC	ZNF384	P01106	Q8TF68
MYC	PGAM5	P01106	Q96HS1
MYC	UBR1	P01106	Q8IWV7
MYC	TMEM201	P01106	Q5SNT2
MYC	RPL22L1	P01106	Q6P5R6
MYC	PDE12	P01106	Q6L8Q7
MYC	HNRNPA3	P01106	P51991
MYC	JMJD1C	P01106	Q15652
MYC	HNRNPUL2	P01106	Q1KMD3
MYC	NT5DC1	P01106	Q5TFE4
MYC	ZBTB9	P01106	Q96C00
MYC	TWISTNB	P01106	-
MYC	SDK1	P01106	Q7Z5N4
MYC	LRWD1	P01106	Q9UFC0
MYC	PRR14L	P01106	Q5THK1
MYC	RICTOR	P01106	Q6R327
MYC	RNF169	P01106	Q8NCN4
MYC	SNX33	P01106	Q8WV41
MYC	ASPM	P01106	Q8IZT6
MYC	ANKRD52	P01106	Q8NB46
MYC	MUC19	P01106	Q7Z5P9
MYC	CHAMP1	P01106	Q96JM3
MYC	NOMO2	P01106	Q5JPE7
MYC	PGP	P01106	A6NDG6
MYC	KANSL1	P01106	Q7Z3B3
MYC	GSDMA	P01106	Q96QA5
MYC	PTRF	P01106	-
MYC	PPP1R37	P01106	O75864
MYC	ZNF326	P01106	Q5BKZ1
MYC	RPL7L1	P01106	Q6DKI1
MYC	FAM83H	P01106	Q6ZRV2
MYC	LIN9	P01106	Q5TKA1
MYC	DDX51	P01106	Q8N8A6
MYC	NCCRP1	P01106	Q6ZVX7
MYC	TUBB2B	P01106	Q9BVA1
MYC	FAM131C	P01106	Q96AQ9
MYC	IRF2BP2	P01106	Q7Z5L9
MYC	AGRN	P01106	O00468
MYC	HSP90AB2P	P01106	-
MYC	HIST2H3PS2	P01106	-
MYC	GPX8	P01106	Q8TED1
MYC	WEE2	P01106	P0C1S8
MYC	PHLDB3	P01106	Q6NSJ2
MYC	CDK11A	P01106	Q9UQ88
MYC	C11orf98	P01106	E9PRG8
MYD88	PRDX1	Q99836	Q06830
MYO7A	CDH1	Q13402	P12830
MYO7A	CTNNB1	Q13402	P35222
MYO9A	TP53	B2RTY4	P04637
MYOD1	RB1	P15172	P06400
HNRNPM	STAT3	P52272	P40763
NAP1L1	TP53	P55209	P04637
NUBP1	PPAT	P53384	Q06203
NCK1	SOCS1	P16333	O15524
NDN	TP53	Q99608	P04637
NDUFAB1	GSTP1	O14561	P09211
NDUFAB1	BBC3	O14561	Q9BXH1
NEDD8	HRAS	Q15843	P01112
NEDD8	PRDX1	Q15843	Q06830
NEK2	CTNNB1	P51955	P35222
NEUROD1	CCND1	Q13562	P24385
NF1	F12	P21359	P00748
NF1	PML	P21359	P29590
NF2	MET	P35240	P08581
NF2	MYC	P35240	P01106
NF2	PRDX1	P35240	Q06830
NFATC1	TP53	O95644	P04637
NFATC2	RB1	Q13469	P06400
NFE2L2	CDH1	Q16236	P12830
NFIC	MYC	P08651	P01106
NFIX	RB1	Q14938	P06400
NFKB1	CTNNB1	P19838	P35222
NFKB1	PML	P19838	P29590
NFKB1	IKBKG	P19838	Q9Y6K9
NFKB2	PML	Q00653	P29590
NFKB2	IKBKG	Q00653	Q9Y6K9
NFYA	TP53	P23511	P04637
NFYB	MYC	P25208	P01106
NFYC	MYC	Q13952	P01106
NGFR	TP53	P08138	P04637
NME1	PRDX1	P15531	Q06830
NME2	ENO2	P22392	P09104
NMT1	TP53	P30419	P04637
NOTCH1	CTNNB1	P46531	P35222
NOTCH1	MAPK1	P46531	P28482
NOTCH1	RB1	P46531	P06400
NOTCH3	MYC	Q9UM47	P01106
PNP	TP53	P00491	P04637
NPM1	KDR	P06748	P35968
NPM1	RB1	P06748	P06400
NRAS	ATP7A	P01111	Q04656
NRAS	CTNNB1	P01111	P35222
NRAS	HRAS	P01111	P01112
NRAS	KRAS	P01111	P01116
NRAS	MAPK3	P01111	P27361
YBX1	TP53	P67809	P04637
NTHL1	TP53	P78549	P04637
NTRK1	ATP7A	P04629	Q04656
NTRK1	CTNNB1	P04629	P35222
NTRK1	ENO2	P04629	P09104
NTRK1	GSTP1	P04629	P09211
NTRK1	PRDX1	P04629	Q06830
NTRK1	PML	P04629	P29590
NTRK1	PPAT	P04629	Q06203
NTRK1	MAPK1	P04629	P28482
NTRK1	RB1	P04629	P06400
NTRK1	STAT3	P04629	P40763
NTRK3	ATP7B	Q16288	P35670
NTRK3	HRAS	Q16288	P01112
DDR2	CDH1	Q16832	P12830
DDR2	TK1	Q16832	P04183
NR4A2	MAPK3	P43354	P27361
OAT	ENO2	P04181	P09104
OAZ1	MYC	P54368	P01106
OAZ2	MYC	O95190	P01106
P2RY6	KRAS	Q15077	P01116
P4HA1	CTNNB1	P13674	P35222
PA2G4	IKBKG	Q9UQ80	Q9Y6K9
PEBP1	CP	P30086	P00450
PEBP1	PRDX1	P30086	Q06830
PEBP1	MAPK1	P30086	P28482
PAFAH1B3	TP53	Q15102	P04637
PRDX1	ASS1	Q06830	P00966
PRDX1	GAPDH	Q06830	P04406
PRDX1	MSH6	Q06830	P52701
PRDX1	PRDX1	Q06830	Q06830
PRDX1	RAD23A	Q06830	P54725
PRDX1	RNH1	Q06830	P13489
PRDX1	SMARCD1	Q06830	Q96GM5
PRDX1	SOD1	Q06830	P00441
PRDX1	PRDX2	Q06830	P32119
PRDX1	TKT	Q06830	P29401
PRDX1	TPM3	Q06830	P06753
PRDX1	UBE2H	Q06830	P62256
PRDX1	USP5	Q06830	P45974
PRDX1	UBE2M	Q06830	P61081
PRDX1	PRDX6	Q06830	P30041
PRDX1	COX17	Q06830	Q14061
PRDX1	YAP1	Q06830	P46937
PRDX1	ACAA2	Q06830	P42765
PRDX1	DNPH1	Q06830	O43598
PRDX1	PRDX3	Q06830	P30048
PRDX1	PRDX5	Q06830	P30044
PRDX1	SCCPDH	Q06830	Q8NBX0
PRDX1	ZFR	Q06830	Q96KR1
PRDX1	PDP1	Q06830	Q9P0J1
PRDX1	URM1	Q06830	Q9BTM9
PRDX1	SH3BGRL2	Q06830	Q9UJC5
PRDX1	USMG5	Q06830	-
PRDX1	SH2D1B	Q06830	O14796
PRDX1	TIPRL	Q06830	O75663
PRDX1	LOC440434	Q06830	-
SERPINB2	RB1	P05120	P06400
PAK2	MYC	Q13177	P01106
PARK2	CCND1	-	P24385
PARK2	BCL2	-	P10415
PARK2	GSTP1	-	P09211
PARK2	PRDX1	-	Q06830
PARK2	MAPK1	-	P28482
PARK2	TP53	-	P04637
PAX6	RB1	P26367	P06400
PCBP1	MET	Q15365	P08581
PCBP1	PML	Q15365	P29590
PCDHGC3	CDH1	Q9UN70	P12830
PCDHGC3	HRAS	Q9UN70	P01112
PCMT1	ENO2	P22061	P09104
CDK18	CCNDBP1	Q07002	O95273
PDCD1	SOCS1	Q15116	O15524
PDE6D	HRAS	O43924	P01112
PDGFRA	MYC	P16234	P01106
PDGFRA	STAT3	P16234	P40763
PDGFRL	HRAS	Q15198	P01112
PDGFRL	MAPK3	Q15198	P27361
PDGFRL	TGFB1	Q15198	P01137
PDGFRB	MFGE8	P09619	Q08431
PDGFRB	STAT3	P09619	P40763
PDHA1	TP53	P08559	P04637
PECAM1	CTNNB1	P16284	P35222
PECAM1	MAPK1	P16284	P28482
PEPD	SPP1	P12955	P10451
PF4	CXCL9	P02776	Q07325
PFAS	PPAT	O15067	Q06203
PFDN5	MYC	Q99471	P01106
CDK14	RB1	O94921	P06400
PGK1	ENO2	P00558	P09104
PGR	MAPK1	P06401	P28482
PHB	PRDX1	P35232	Q06830
PHB	PPAT	P35232	Q06203
PHB	MAPK1	P35232	P28482
PHB	RB1	P35232	P06400
PHB	TP53	P35232	P04637
PHB	IKBKG	P35232	Q9Y6K9
PHF1	TP53	O43189	P04637
SERPINB9	TP53	P50453	P04637
PIK3CA	CTNNB1	P42336	P35222
PIK3CA	HRAS	P42336	P01112
PIK3CA	MYC	P42336	P01106
PIM1	MYC	P11309	P01106
PIK3CG	KRAS	P48736	P01116
PIK3R1	HRAS	P27986	P01112
PIK3R1	JAK2	P27986	O60674
PIK3R1	RRAS2	P27986	P62070
PIN1	TP53	Q13526	P04637
PITX2	CTNNB1	Q99697	P35222
PKD1	CTNNB1	P98161	P35222
PKM	CTNNB1	P14618	P35222
PKM	MAPK1	P14618	P28482
PKM	TP53	P14618	P04637
PLA2G4A	MAPK1	P47712	P28482
PLA2G4A	MAPK3	P47712	P27361
PLAGL1	TP53	Q9UM63	P04637
PLAU	HRAS	P00749	P01112
PLCG2	TP53	P16885	P04637
PLK1	ATP7A	P53350	Q04656
PLK1	BCL2L1	P53350	Q07817
PLK1	CTNNB1	P53350	P35222
PLK1	TP53	P53350	P04637
PLK1	IKBKG	P53350	Q9Y6K9
PLS3	ENO2	P13797	P09104
PLSCR1	PML	O15162	P29590
PML	FAS	P29590	P25445
PML	ARNT	P29590	P27540
PML	ATRX	P29590	P46100
PML	BCL2	P29590	P10415
PML	RUNX2	P29590	Q13950
PML	RUNX3	P29590	Q13761
PML	CCNT1	P29590	O60563
PML	CHD4	P29590	Q14839
PML	ATF2	P29590	P15336
PML	CREBBP	P29590	Q92793
PML	CSNK1D	P29590	P48730
PML	CSNK2A1	P29590	P68400
PML	CSNK2B	P29590	P67870
PML	CTNNB1	P29590	P35222
PML	DAXX	P29590	Q9UER7
PML	DNM2	P29590	P50570
PML	E2F4	P29590	Q16254
PML	EGFR	P29590	P00533
PML	EIF4E	P29590	P06730
PML	EZH2	P29590	Q15910
PML	FOS	P29590	P01100
PML	MTOR	P29590	P42345
PML	GATA1	P29590	P15976
PML	H3F3A	P29590	-
PML	HADHB	P29590	P55084
PML	HTT	P29590	P42858
PML	HHEX	P29590	Q03014
PML	NR4A1	P29590	P22736
PML	HNRNPU	P29590	Q00839
PML	JAK1	P29590	P23458
PML	JUN	P29590	P05412
PML	KPNA4	P29590	O00629
PML	SMAD2	P29590	Q15796
PML	MDM2	P29590	Q00987
PML	MYB	P29590	P10242
PML	NDUFA2	P29590	O43678
PML	NDUFS1	P29590	P28331
PML	NFATC1	P29590	O95644
PML	NPM1	P29590	P06748
PML	PIN1	P29590	Q13526
PML	PKM	P29590	P14618
PML	PLAGL1	P29590	Q9UM63
PML	PLCG1	P29590	P19174
PML	PML	P29590	P29590
PML	POLR2E	P29590	P19388
PML	PPARG	P29590	P37231
PML	MAPK1	P29590	P28482
PML	MAPK3	P29590	P27361
PML	MAPK11	P29590	Q15759
PML	PSMA3	P29590	P25788
PML	RANBP2	P29590	P49792
PML	RARA	P29590	P10276
PML	RB1	P29590	P06400
PML	RBL2	P29590	Q08999
PML	RELA	P29590	Q04206
PML	RFC4	P29590	P35249
PML	RPL11	P29590	P62913
PML	RXRA	P29590	P19793
PML	SATB1	P29590	Q01826
PML	ATXN1	P29590	P54253
PML	SH3GL1	P29590	Q99961
PML	SIAH1	P29590	Q8IUQ4
PML	SIAH2	P29590	O43255
PML	SKI	P29590	P12755
PML	SKP1	P29590	P63208
PML	SP1	P29590	P08047
PML	SP100	P29590	P23497
PML	SPI1	P29590	P17947
PML	SRF	P29590	P11831
PML	STAT1	P29590	P42224
PML	STAT2	P29590	P52630
PML	AURKA	P29590	O14965
PML	TBX3	P29590	O15119
PML	TCF7L2	P29590	Q9NQB0
PML	TDG	P29590	Q13569
PML	TOP2B	P29590	Q02880
PML	TUBA3C	P29590	P0DPH7
PML	HIRA	P29590	P54198
PML	SUMO1	P29590	P63165
PML	VDAC2	P29590	P45880
PML	VDAC3	P29590	Q9Y277
PML	ZBTB16	P29590	Q05516
PML	AXIN1	P29590	O15169
PML	CUL1	P29590	Q13616
PML	TP63	P29590	Q9H3D4
PML	HDAC3	P29590	O15379
PML	PER2	P29590	O15055
PML	IER3	P29590	P46695
PML	SQSTM1	P29590	Q13501
PML	PLOD3	P29590	O60568
PML	ZFYVE9	P29590	O95405
PML	SNRNP40	P29590	Q96DI7
PML	MED7	P29590	O43513
PML	HOMER3	P29590	Q9NSC5
PML	ATP5J2	P29590	-
PML	NCOR1	P29590	O75376
PML	NCOR2	P29590	Q9Y618
PML	IKBKE	P29590	Q14164
PML	TOMM20	P29590	Q15388
PML	NR1I3	P29590	Q14994
PML	RBX1	P29590	P62877
PML	HMGXB4	P29590	Q9UGU5
PML	PSME3	P29590	P61289
PML	NCOA2	P29590	Q15596
PML	KAT5	P29590	Q92993
PML	TOPBP1	P29590	Q92547
PML	WDR5	P29590	P61964
PML	PARK7	P29590	Q99497
PML	SYNE2	P29590	Q8WXH0
PML	SIRT1	P29590	Q96EB6
PML	SUZ12	P29590	Q15022
PML	ASF1A	P29590	Q9Y294
PML	INTS7	P29590	Q9NVH2
PML	SIN3A	P29590	Q96ST3
PML	TCTN3	P29590	Q6NUS6
PML	FBXO3	P29590	Q9UK99
PML	ANKRD2	P29590	Q9GZV1
PML	UQCRQ	P29590	O14949
PML	EIF3K	P29590	Q9UBQ5
PML	MRTO4	P29590	Q9UKD2
PML	HDAC7	P29590	Q8WUI4
PML	DNAJC11	P29590	Q9NVH1
PML	WDR45B	P29590	Q5MNZ6
PML	GOPC	P29590	Q9HD26
PML	TBC1D14	P29590	Q9P2M4
PML	RNF123	P29590	Q5XPI4
PML	SAP130	P29590	Q9H0E3
PML	COLGALT1	P29590	Q8NBJ5
PML	MAP1LC3B	P29590	Q9GZQ8
PML	SFXN3	P29590	Q9BWM7
PML	PCBD2	P29590	Q9H0N5
PML	GLIS2	P29590	Q9BZE0
PML	DPH7	P29590	Q9BTV6
PML	NACC1	P29590	Q96RE7
PML	C1QTNF6	P29590	Q9BXI9
PML	TRIM69	P29590	Q86WT6
PML	NANP	P29590	Q8TBE9
PML	CACUL1	P29590	Q86Y37
PML	EME1	P29590	Q96AY2
PML	GOLGA6A	P29590	Q9NYA3
PML	ZNF506	P29590	Q5JVG8
PML	TIMM23	P29590	O14925
PMP2	CCNDBP1	P02689	O95273
PMS1	HRAS	P54277	P01112
SEPT4	BCL2	-	P10415
POLA1	RB1	P09884	P06400
POLA1	TP53	P09884	P04637
POLR2B	IKBKG	P30876	Q9Y6K9
POLR2D	IKBKG	O15514	Q9Y6K9
POLR2E	IKBKG	P19388	Q9Y6K9
POR	CYP1A2	P16435	P05177
POR	CYP2E1	P16435	P05181
POU1F1	NR1I3	P28069	Q14994
PPA1	TP53	Q15181	P04637
PPARA	BCL2	Q07869	P10415
PPARD	GLUL	Q03181	P15104
PPARG	RB1	P37231	P06400
PPARG	TP53	P37231	P04637
PPAT	ARHGAP1	Q06203	Q07960
PPAT	CARS	Q06203	-
PPAT	G6PD	Q06203	P11413
PPAT	GART	Q06203	P22102
PPAT	HSPA4	Q06203	P34932
PPAT	ILK	Q06203	Q13418
PPAT	IMPDH2	Q06203	P12268
PPAT	MEA1	Q06203	Q16626
PPAT	PAK1	Q06203	Q13153
PPAT	PPAT	Q06203	Q06203
PPAT	PRPS1	Q06203	P60891
PPAT	PRPS2	Q06203	P11908
PPAT	RSU1	Q06203	Q15404
PPAT	SHMT1	Q06203	P34896
PPAT	TROVE2	Q06203	-
PPAT	TYMS	Q06203	P04818
PPAT	HDAC3	Q06203	O15379
PPAT	UBA2	Q06203	Q9UBT2
PPAT	NUDT5	Q06203	Q9UKK9
PPAT	CCZ1	Q06203	P86791
PPAT	PARVA	Q06203	Q9NVD7
PPAT	NPEPL1	Q06203	Q8NDH3
PPAT	EPT1	Q06203	-
PPAT	FAM114A1	Q06203	Q8IWE2
PPBP	CXCL9	P02775	Q07325
PPIA	JAK2	P62937	O60674
PPIB	ENO2	P23284	P09104
PPIB	TP53	P23284	P04637
PPM1B	IKBKG	O75688	Q9Y6K9
PPP1CA	BCL2	P62136	P10415
PPP1CA	CDH1	P62136	P12830
PPP1CA	PRDX1	P62136	Q06830
PPP1CA	RB1	P62136	P06400
PPP1CA	TP53	P62136	P04637
PPP1CB	CCND1	P62140	P24385
PPP1CB	BCL2	P62140	P10415
PPP1CC	CCND1	P36873	P24385
PPP1CC	BCL2	P36873	P10415
PPP1CC	BCL2L1	P36873	Q07817
PPP1CC	ENO2	P36873	P09104
PPP1CC	JAK2	P36873	O60674
PPP1CC	TP53	P36873	P04637
PPP1CC	IKBKG	P36873	Q9Y6K9
PPP2CA	BCL2	P67775	P10415
PPP2CA	PPAT	P67775	Q06203
PPP2CA	TP53	P67775	P04637
PPP2R1A	PRDX1	P30153	Q06830
PPP2R1B	PRDX1	P30154	Q06830
PPP2R1B	STAT3	P30154	P40763
PPP2R4	CTNNB1	-	P35222
PPP2R5D	PRDX1	Q14738	Q06830
PPP4C	IKBKG	P60510	Q9Y6K9
PPP6C	KRAS	O00743	P01116
PPT1	ENO2	P50897	P09104
PPT1	GSTP1	P50897	P09211
PPT1	PRDX1	P50897	Q06830
PRKAB2	TP53	O43741	P04637
PRKAG1	FAS	P54619	P25445
PRKAR1A	TK1	P10644	P04183
PRKCA	CTNNB1	P17252	P35222
PRKCB	RB1	P05771	P06400
PRKCD	STAT3	Q05655	P40763
PRKCD	TP53	Q05655	P04637
PRKCG	CTNNB1	P05129	P35222
PRKD1	TK1	Q15139	P04183
PRKD1	TP53	Q15139	P04637
PRKCQ	IKBKG	Q04759	Q9Y6K9
PRKCZ	PRDX1	Q05513	Q06830
PRKDC	PRDX1	P78527	Q06830
PRKDC	TP53	P78527	P04637
MAPK1	AES	P28482	-
MAPK1	AR	P28482	P10275
MAPK1	ARRB1	P28482	P49407
MAPK1	ATP1A1	P28482	P05023
MAPK1	CCND1	P28482	P24385
MAPK1	BCL2	P28482	P10415
MAPK1	BCL3	P28482	P20749
MAPK1	C1QBP	P28482	Q07021
MAPK1	CAPN2	P28482	P17655
MAPK1	CASP9	P28482	P55211
MAPK1	RUNX1	P28482	Q01196
MAPK1	CEBPB	P28482	P17676
MAPK1	CENPE	P28482	Q02224
MAPK1	CHEK1	P28482	O14757
MAPK1	CHN1	P28482	P15882
MAPK1	ATF2	P28482	P15336
